line_id,description,start_time,end_time,logs_count,duration_minutes
Other,Die Linie 10 fährt derzeit nur zwischen Dornbach und Hütteldorfer Straße U. Die Linie 52 fährt derzeit nur zwischen Westbahnhof S U und Penzinger Straße. Die Züge der Linie 10 werden nach Breitensee umgeleitet und die Züge der Linie 52 werden nach Hietzing und weiter nach Unter Sankt Veit umgeleitet. Ein Schienenersatzverkehr zwischen Baumgarten und Anschützgasse wurde für Sie eingerichtet. Weichen Sie ersatzweise auf die Linien U3 und U4 aus. Voraussichtliche Dauer: Bis Betriebsschluss. Grund: Wasserrohrgebrechen im Bereich Linzer Straße.,2026-03-22 17:39:14,2026-03-22 18:15:15,5,36.016666666666666
Other,Die Linie 10 fährt derzeit nur zwischen Dornbach und Hütteldorfer Straße U. Die Linie 52 fährt derzeit nur zwischen Westbahnhof S U und Penzinger Straße. Die Züge der Linie 10 werden nach Breitensee umgeleitet und die Züge der Linie 52 werden nach Hietzing und weiter nach Unter Sankt Veit umgeleitet. Ein Schienenersatzverkehr zwischen Baumgarten und Anschützgasse wurde für sie eingerichtet. Weichen Sie ersatzweise auf die Linien U3 und U4 aus. Voraussichtliche Dauer: bis Betriebsschluss.. Grund: Wasserrohrgebrechen im Bereich Linzer Straße.,2026-03-22 14:15:10,2026-03-22 17:30:16,14,195.1
Other,"Die Linie 49 fährt derzeit nur zwischen Hütteldorfer Straße U und Baumgarten. Voraussichtliche Dauer: 16:00 Uhr. Grund: Rettungseinsatz im Haltestellenbereich Hütteldorf, Bujattigasse.",2026-03-22 14:30:16,2026-03-22 14:45:09,2,14.883333333333333
Other,"Die Linie 71 fährt derzeit nur zwischen Kaiserebersdorf, Zinnergasse und St. Marx S. Linie 4A: Betrieb nur zwischen Wittelsbachstraße und Lisztstraße. Linie 74A: Betrieb nur zwischen St. Marx S und Landstraße S U. Voraussichtliche Dauer: ca. 17:30 Uhr. Grund: Demonstration im Bereich Schwarzenbergplatz.",2026-03-22 13:30:17,2026-03-22 14:00:23,3,30.1
Other,"Die Linie 71 fährt derzeit nur zwischen Kaiserebersdorf, Zinnergasse und St. Marx S. Linie 4A: Betrieb nur zwischen Wittelsbachstraße und Lisztstraße. Voraussichtliche Dauer: ca. 17:30 Uhr. Grund: Demonstration im Bereich Schwarzenbergplatz.",2026-03-22 13:15:10,2026-03-22 13:15:10,1,0.0
Other,"Die Linie 71 fährt derzeit nur zwischen Kaiserebersdorf, Zinnergasse und St. Marx S. Voraussichtliche Dauer: ca. 17:30 Uhr. Grund: Demonstration im Bereich Schwarzenbergplatz.",2026-03-22 12:45:09,2026-03-22 13:00:24,2,15.25
Other,"Die Linie 71 fährt derzeit nur zwischen Kaiserebersdorf, Zinnergasse und St. Marx S. Voraussichtliche Dauer: ca. 17:30 Uhr. Grund: Demonstration im Bereich Schwarzenbergplatz. ",2026-03-22 14:15:10,2026-03-22 14:30:16,2,15.1
Other,Die Linie 7A wird in Richtung Meidling Hauptstraße U zwischen Arthaberplatz und Davidgasse über die Gussriegelstraße umgeleitet. Voraussichtliche Dauer: 16:30 Uhr. Grund: Falschparker im Bereich Davidgasse.,2026-03-20 15:00:28,2026-03-20 15:00:28,1,0.0
Other,"Die Linie 80A wird in Richtung Neu Marx zwischen Friedensgasse und Stadionbrücke über die Wittelsbachstraße, Erdberger Lände und Schlachthausgasse umgeleitet. Die Haltestellen Friedensgasse, Lukschgasse, Rustenschacherallee, Klaschkaweg und Stadionbrücke können dadurch nicht eingehalten werden. Voraussichtliche Dauer: Ende Mai 2026. Grund: Bauarbeiten im Bereich Stadionallee.",2026-03-19 09:38:22,2026-03-22 18:15:15,332,4836.883333333333
Other,"Die Linie N71 ist derzeit in Richtung Kaiserebersdorf, Zinnergasse an der Weiterfahrt gehindert. Voraussichtliche Dauer: 03:00 Uhr. Grund: Falschparker im Bereich Preßgasse.",2026-03-22 01:45:09,2026-03-22 01:45:09,1,0.0
Other,Fahrtbehinderung Falschparker,2026-03-19 09:38:22,2026-03-22 16:15:10,470,4716.8
Other,Fahrtbehinderung Fremder Verkehrsunfall,2026-03-19 22:30:16,2026-03-21 22:45:09,85,2894.883333333333
Other,Fahrtbehinderung Gleisschaden,2026-03-21 10:15:09,2026-03-21 12:15:15,105,120.1
Other,Fahrtbehinderung Schadhafter PKW,2026-03-21 21:30:16,2026-03-21 22:15:10,8,44.9
Other,Fahrtbehinderung Schadhafter Pkw,2026-03-20 09:15:11,2026-03-20 10:00:25,42,45.233333333333334
Other,Fahrtbehinderung Schadhafter Zug,2026-03-19 15:30:19,2026-03-20 19:00:26,300,1650.1166666666666
Other,Fahrtbehinderung Verkehrsunfall,2026-03-19 09:38:22,2026-03-21 22:45:09,412,3666.7833333333333
Other,Fahrtbehinderung Weichenschaden,2026-03-19 15:15:11,2026-03-19 16:00:28,28,45.28333333333333
Other,Fahrtbehinderung wegen Demonstration,2026-03-20 17:00:36,2026-03-22 18:15:15,455,2954.65
Other,Fahrtbehinderung wegen Falschparker,2026-03-20 16:45:11,2026-03-20 17:30:23,8,45.2
Other,Fahrtbehinderung wegen Feuerwehreinsatz,2026-03-19 17:45:10,2026-03-19 18:30:18,14,45.13333333333333
Other,Fahrtbehinderung wegen Polizeieinsatz,2026-03-19 16:15:10,2026-03-22 12:30:15,200,4095.0833333333335
Other,Fahrtbehinderung wegen Rettungseinsatz,2026-03-19 13:30:18,2026-03-22 15:15:10,310,4424.866666666667
Other,Fahrtbehinderung wegen Signalstörung,2026-03-20 18:45:10,2026-03-20 23:45:15,48,300.0833333333333
Other,Fahrtbehinderung wegen Wasserrohrbruch,2026-03-21 20:45:09,2026-03-22 12:45:09,264,960.0
Other,Fahrtrichtung U4 Heiligenstadt. - Ausgang Ramperstorffergasse,2026-03-19 09:38:22,2026-03-22 18:15:15,332,4836.883333333333
Other,Falschparker Betrieb Johann-Nepomuk-Berger-Platz,2026-03-19 17:15:10,2026-03-19 17:45:10,3,30.0
Other,Falschparker Betrieb ab Gersthof,2026-03-21 12:00:23,2026-03-21 12:15:15,16,14.866666666666667
Other,Falschparker Betrieb ab Johann- Nepomuk-Berger-Platz,2026-03-19 17:15:10,2026-03-19 17:45:10,3,30.0
Other,Falschparker Betrieb ab Johann-Nepomuk-Berger-Platz,2026-03-19 17:15:10,2026-03-19 18:00:26,14,45.266666666666666
Other,"Falschparker Betrieb über Neilreichgasse, Troststraße",2026-03-20 15:00:28,2026-03-20 15:45:10,4,44.7
Other,Feuerwehreinsatz Betrieb ab Praterstern <>,2026-03-19 17:45:10,2026-03-19 18:30:18,16,45.13333333333333
Other,Fremdunfall Betrieb ab Dörfelstraße,2026-03-20 15:00:28,2026-03-20 16:45:11,28,104.71666666666667
Other,Fremdunfall Betrieb ab Fasangasse,2026-03-21 22:15:10,2026-03-21 22:45:09,3,29.983333333333334
Other,Fremdunfall Betrieb ab Gersthof S,2026-03-20 14:45:10,2026-03-20 15:15:10,6,30.0
