timestamp,title,description
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Gleisbauarbeiten Kein Betrieb,Gleisbauarbeiten Kein Betrieb
2026-03-19 09:38:22,Verkehrsunfall Betrieb ab Kagran,Verkehrsunfall Betrieb ab Kagran
2026-03-19 09:38:22,Verkehrsunfall Betrieb ab Kagran,Verkehrsunfall Betrieb ab Kagran
